label,happy,angry,disgust,sad,fear,neutral,surprise,Pitch1,Pitch2,Pitch3,Pitch4,Pitch5,Pitch6,Pitch7,Pitch8,Pitch9,Pitch10,Pitch11,Pitch12
0,0.412402588,0.010464889,1.74e-05,0.01614184,0.016115637,0.336955008,0.207902596,0.596574187,0.505428553,0.410336316,0.337532312,0.353025794,0.427097887,0.558772683,0.554806948,0.514161587,0.480811089,0.575296521,0.694522321
0,0.491977719,0.000753457,1.81e-07,0.005755203,0.04437724,0.295892061,0.16124414,0.600687444,0.564337552,0.612162054,0.71011436,0.707930207,0.70581907,0.615850449,0.518900454,0.549744964,0.637102664,0.678445935,0.680932045
0,0.838704062,0.002490089,0.00012754,0.002720893,0.044645171,0.075555184,0.035757061,0.596223772,0.551936507,0.562271655,0.585797846,0.64695853,0.651363492,0.614266336,0.513144255,0.419452757,0.492543727,0.55651933,0.586987555
0,0.839151115,0.000381483,3.94e-07,0.001384064,0.015672369,0.12457076,0.018839815,0.45624426,0.523866475,0.55506742,0.509558916,0.523454189,0.613161504,0.79971236,0.707238019,0.531489789,0.462818235,0.506089807,0.475869387
0,0.295856894,0.000482102,9.43e-07,0.006081826,0.070931229,0.044696721,0.581950286,0.567954063,0.582875133,0.611513853,0.682314634,0.710061312,0.643962502,0.621813357,0.630001962,0.605114162,0.568347335,0.649453938,0.623416483
0,0.625116797,0.037737672,0.000605083,0.010708592,0.039591706,0.180574723,0.105665427,0.708492041,0.650789201,0.509812772,0.442453384,0.423953354,0.531253874,0.594906986,0.678182065,0.674352109,0.710461915,0.606568456,0.540003359
0,0.994061588,0.00118634,4.48e-07,6.7e-06,1.89e-05,0.004052643,0.000673399,0.287303895,0.250474095,0.326556802,0.429252535,0.444502383,0.467403054,0.47416079,0.50791651,0.59845984,0.639155149,0.582148373,0.393836677
0,0.23780701,0.064250125,0.00271929,0.059312787,0.120973846,0.400298787,0.114638155,0.641739726,0.663605809,0.692483246,0.633758485,0.575042486,0.50995928,0.548279822,0.534051538,0.493227303,0.559811831,0.500721216,0.544069052
0,0.453444886,0.022259512,0.000172395,0.020880895,0.070621311,0.401541771,0.031079229,0.68049413,0.714368284,0.6104092,0.660223007,0.727678537,0.560917318,0.58073473,0.566314816,0.605005562,0.500095904,0.48968792,0.675013304
0,0.790948316,0.000396603,1.05e-06,0.002546483,0.008700687,0.158201044,0.039205814,0.867382824,0.816303849,0.785457671,0.836134732,0.78508687,0.618284583,0.658368647,0.679011881,0.726326704,0.627801776,0.58703047,0.752006292
0,0.7624384,0.067611669,5.57e-06,0.002611668,0.054749328,0.072374808,0.040208558,0.796140671,0.778316081,0.664959013,0.699840128,0.730711997,0.659540594,0.68892175,0.604606152,0.580899298,0.54584831,0.551919997,0.712759256
0,0.764904781,0.000558935,7.67e-07,0.001207232,0.011577921,0.123633062,0.098117302,0.494879723,0.61122632,0.698353887,0.728704274,0.653101861,0.530016184,0.454418272,0.530371785,0.550425231,0.546347558,0.558751166,0.536320448
0,0.377422601,0.062889121,0.001207937,0.104309311,0.08511248,0.308481414,0.060577137,0.569678366,0.601653934,0.58166784,0.628839433,0.623488545,0.519421101,0.495114833,0.477452278,0.523976743,0.587348521,0.541645408,0.632601321
0,0.703582909,0.0014657,8.39e-07,0.014530322,0.051480126,0.212348737,0.016591367,0.568561673,0.487042308,0.45409888,0.536912918,0.625537336,0.669898748,0.724175215,0.543473125,0.504146159,0.505854785,0.508145452,0.559698701
0,0.872976451,0.000142434,9.03e-07,0.002077704,0.002306415,0.053253864,0.06924223,0.638273299,0.570241511,0.54223007,0.50511986,0.505161524,0.490742773,0.390970737,0.415037513,0.541816652,0.691907346,0.755394697,0.747229218
0,0.99993526,1.42e-09,2.62e-20,1.95e-13,2.6e-11,6.47e-05,4.76e-11,0.590264082,0.478263736,0.46042636,0.502012074,0.656675756,0.748067498,0.568740845,0.602059126,0.589745283,0.492015541,0.464689076,0.53150785
0,0.99198435,0.000121456,8.51e-13,8.16e-09,1.05e-07,0.007893559,5.22e-07,0.604497313,0.588196218,0.602481425,0.661394358,0.764685035,0.810613871,0.665185213,0.501502931,0.494499594,0.475532264,0.470333844,0.578819871
0,0.604219895,0.140021872,1.02e-05,0.004311245,0.216136927,0.015479546,0.019820292,0.55935514,0.570930302,0.585324407,0.602898002,0.629712999,0.651753604,0.654632032,0.681505919,0.717330635,0.639262557,0.609654725,0.580070078
0,0.089466731,0.036709241,0.010587262,0.066089898,0.613775776,0.105355617,0.078015474,0.408626735,0.457451344,0.392015368,0.37088415,0.314181834,0.348619401,0.531816065,0.54711324,0.580000699,0.619293451,0.430187821,0.355092883
0,0.000182478,0.042077189,0.022337777,0.007949857,0.754071592,0.073665768,0.099715338,0.532901883,0.484801322,0.476494044,0.501042902,0.558046162,0.61441946,0.616096735,0.608685195,0.729159415,0.841339052,0.599593878,0.470251203
0,0.063099345,0.032091158,0.000265617,0.014482246,0.497252454,0.180715379,0.212093801,0.532951832,0.55330658,0.537276685,0.630333662,0.656825662,0.626884758,0.551076353,0.53712821,0.585392118,0.500802457,0.44106558,0.46999523
0,0.074713236,0.000451936,1.25e-07,0.000844723,0.066131941,0.121673479,0.736184559,0.551894665,0.433640301,0.440129399,0.637196302,0.722544968,0.791154921,0.460585505,0.497594714,0.579972625,0.483707994,0.47552821,0.503020525
0,0.166389517,0.003886483,5.41e-06,0.01035211,0.095746351,0.193288509,0.530331619,0.30619821,0.416045636,0.561307371,0.533216894,0.405543596,0.444031626,0.672263682,0.900296569,0.664138317,0.503111184,0.446250528,0.317857981
0,0.436331626,0.000546967,4.03e-06,0.031925576,0.025620236,0.288450913,0.217120652,0.410591871,0.366781443,0.421003342,0.510179043,0.493034363,0.5489555,0.598921299,0.752222419,0.793437958,0.596062243,0.389719576,0.376515985
0,0.259211768,0.000741445,2.03e-05,0.002008507,0.036199358,0.414591553,0.287227037,0.767869711,0.595801353,0.591937959,0.610648692,0.600423574,0.474144429,0.465483189,0.584055483,0.500207067,0.498357475,0.511870921,0.644106448
0,0.194294192,0.002130779,3.34e-06,0.016574517,0.063837059,0.285072434,0.43808768,0.4291915,0.371507287,0.348366231,0.345799088,0.399930388,0.487676531,0.567254424,0.592415154,0.655343175,0.567909539,0.45316121,0.496351838
0,0.829502214,0.000158449,4.16e-07,0.004798745,0.083344947,0.027715009,0.054480219,0.707983851,0.574188054,0.567586064,0.572782397,0.598837256,0.549604475,0.503114104,0.606205583,0.560437679,0.466412902,0.506992161,0.679382503
0,0.17254725,0.046880766,2.28e-06,0.116006792,0.068890221,0.251746792,0.343925902,0.582488954,0.63572216,0.632946193,0.653433204,0.616498411,0.527135313,0.510070562,0.596201062,0.647024155,0.69972378,0.677695096,0.601691782
0,0.227954697,0.002224077,7.04e-06,0.002646616,0.060281075,0.200255564,0.506630929,0.569693327,0.530020297,0.558291614,0.538795888,0.562862933,0.555314183,0.586373568,0.735808372,0.775267065,0.614998162,0.578145683,0.632418036
0,0.833407186,0.000629891,7.32e-05,0.002852301,0.034618265,0.122974745,0.005444414,0.572539032,0.576439619,0.659740448,0.668219507,0.563719928,0.415284634,0.429490656,0.571452081,0.547507823,0.528688669,0.528799653,0.647534132
0,0.459981195,0.002525338,4.5e-05,0.00475567,0.043347194,0.382806237,0.106539396,0.474091619,0.468460351,0.556600153,0.585083246,0.576833487,0.57410419,0.596730113,0.590213358,0.655836523,0.614761889,0.569929063,0.528781831
0,0.804163075,0.004678842,2.1e-06,0.008917416,0.035137779,0.146795851,0.000304934,0.542568624,0.56455332,0.562495649,0.437913507,0.452793151,0.398765117,0.417884737,0.505532622,0.617010057,0.583477974,0.481051534,0.498384684
0,0.150610892,0.052878246,7.68e-06,0.033748174,0.106052512,0.221577211,0.435125289,0.649805963,0.520596266,0.519479632,0.526862085,0.563799798,0.473377436,0.533056319,0.521568716,0.552975714,0.675259292,0.780082643,0.828342855
0,0.557948748,0.019577701,0.000807592,0.00518058,0.126607638,0.123593075,0.166284664,0.40853405,0.426960588,0.565705597,0.612240434,0.555294454,0.587940812,0.63330406,0.621615469,0.621782601,0.549764097,0.373033047,0.372381866
0,0.08245113,0.021574631,1.51e-05,0.005656255,0.110138227,0.385868309,0.394296394,0.558972061,0.505474985,0.384332955,0.37042743,0.418457955,0.486888707,0.417359948,0.553351104,0.676145792,0.782681644,0.602009356,0.575238645
0,0.514503838,0.020552989,0.000139705,0.005876263,0.01435845,0.415957518,0.028611238,0.467176318,0.41582346,0.513842344,0.685479701,0.569962084,0.473323792,0.50021261,0.656367719,0.630620658,0.543417454,0.604933798,0.519249022
0,0.539208159,0.035997033,4.68e-05,0.254398776,0.002755607,0.167584222,9.44e-06,0.68489337,0.588044524,0.521612108,0.558087409,0.680817842,0.696170807,0.586015165,0.470792741,0.472153068,0.518735409,0.556756318,0.669424474
0,5.44e-05,0.056622732,0.000628229,0.477899485,0.012812135,0.451982976,9.04e-08,0.512937784,0.501114726,0.42575255,0.412117213,0.40974474,0.446962148,0.558789313,0.575474977,0.642918527,0.679937482,0.643132389,0.582845628
0,5.66e-05,0.07224039,0.000387193,0.482398394,0.012512384,0.432404968,8.51e-08,0.522464216,0.445914745,0.433133572,0.447143823,0.505379915,0.642534733,0.678602278,0.469328493,0.497329831,0.500054657,0.634089053,0.635322273
0,0.66154062,0.014838042,4.53e-05,0.031720135,0.040478712,0.242839793,0.00853737,0.595678806,0.526262224,0.474024683,0.468104392,0.626452088,0.715545058,0.640690744,0.554356456,0.536174953,0.623687029,0.739758849,0.674894869
0,0.352283501,0.001853754,3.84e-07,0.008438391,0.054782661,0.364528677,0.218112633,0.333198816,0.450940311,0.630919635,0.730454206,0.583432257,0.535778284,0.502111197,0.49251917,0.437458634,0.328279287,0.349024087,0.337551475
0,0.608659015,0.006559188,1.02e-06,0.001404161,0.084317228,0.054711172,0.244348219,0.63570714,0.651365399,0.555617511,0.452933282,0.46715939,0.450609207,0.486362964,0.535898626,0.527813673,0.498568416,0.544597745,0.630876005
0,0.36938874,0.03574422,0.001093237,0.099898825,0.058568585,0.398031881,0.037274512,0.417557895,0.379958719,0.394462556,0.514281809,0.514602125,0.520812333,0.600644171,0.600571692,0.629678249,0.5779531,0.548430979,0.467711836
0,0.49907852,0.036525509,0.00088402,0.127964568,0.152511202,0.180393654,0.002642527,0.612004757,0.551093936,0.524184048,0.587757528,0.595033824,0.528772891,0.560428977,0.519775808,0.559375346,0.444543868,0.465683937,0.626450717
0,0.643301564,0.008777518,1.27e-06,0.108939683,0.03560821,0.196223237,0.00714852,0.79960674,0.720677435,0.745738447,0.861669898,0.692389309,0.637312829,0.666373849,0.785328925,0.785266876,0.74094218,0.854509175,0.835261345
0,0.105084103,0.1185865,3.31e-06,0.009130525,0.011653646,0.267427821,0.488114094,0.575413823,0.581866324,0.609923065,0.610767126,0.575162351,0.517798483,0.500510991,0.497668535,0.532576978,0.639820635,0.633662641,0.584969044
0,0.234976759,0.005982408,0.000430804,0.046344915,0.039868827,0.192462146,0.479934141,0.509479523,0.454970151,0.548380673,0.594078362,0.666511536,0.682639658,0.586059332,0.575865149,0.665857732,0.56119436,0.628174067,0.675610602
